,instance,value,rel_gap,trace_res,runtime
0,nug20,2774.00064947729,0.07937768462151368,3.699736100060136e-05,0.1398608684539795
1,esc16i,32.000001204454705,1.2857143717467647,9.92188470050337e-07,0.13172698020935059
2,chr15c,26320.000000000004,1.7693602693602697,3.552713678800501e-15,0.1535961627960205
3,lipa70a,172209.99991662274,0.014462018300625816,5.025044288231584e-06,3.0886969566345215
4,tai40b,770283531.0000005,0.20876011784293255,7.034373084024992e-12,3.80047607421875
5,chr20a,5082.000000000001,1.318430656934307,1.0658141036401503e-14,0.08023285865783691
6,lipa20b,32324.000016641585,0.19382479009608453,2.750300254206195e-07,0.14227819442749023
7,tai80b,911266288.0000021,0.11345251507064753,2.9558577807620168e-12,3.7818448543548584
8,els19,31138912.0,0.8090820719860883,5.3290705182007514e-14,0.1320209503173828
9,bur26b,3971256.98754558,0.04018096760837773,4.492077433582153e-06,0.18825888633728027
10,esc16e,40.000003492770134,0.42857155331321906,2.7999947818102555e-06,0.10966706275939941
11,sko100c,150958.0103346999,0.020938512496110628,5.096986092212319e-05,8.54169487953186
12,tai12a,256378.0,0.14242300014259232,0.0,0.0708918571472168
13,chr22a,8616.000000000007,0.3996101364522429,5.684341886080802e-14,0.16872668266296387
14,sko90,117218.02723616184,0.014576031611143394,0.002579014598339313,22.245383977890015
15,esc32e,10.00000232661648,4.00000116330824,2.269756752326657e-06,0.30274295806884766
16,nug16a,1812.0000002495958,0.12546583866434521,5.741307873563528e-08,0.04219794273376465
17,nug17,1873.9999999999995,0.0819861431870667,4.618527782440651e-14,0.1407020092010498
18,kra30a,97330.030512269,0.09482599001427451,2.9457396962584426e-05,0.3460681438446045
19,tho150,8323182.151832355,0.023333931504686625,5.643992989234903e-05,26.735339164733887
20,had14,2727.9999999999995,0.0014684287812039446,2.1316282072803006e-14,0.07906794548034668
21,bur26c,5579834.00003895,0.02820062302684177,3.835624085013478e-08,0.15159821510314941
22,esc16d,26.00000081258076,0.6250000507862974,4.887423870059138e-07,0.10667085647583008
23,sko100b,157510.00000000038,0.023523295860682164,3.709033080667723e-12,8.668555974960327
24,lipa90a,365117.9988001518,0.012444884785380602,2.3112937284963664e-05,6.09424614906311
25,chr15b,15432.000000000016,0.9314142678347955,5.329070518200751e-15,0.1238701343536377
26,tai64c,1936657.0900602534,0.04349796439315178,0.021497736452673166,53.639695167541504
27,had18,5564.0,0.03844718178424785,7.105427357601002e-15,0.09294509887695312
28,nug21,2682.0000573490656,0.10008205797746744,7.11442809731011e-06,0.2209150791168213
29,esc16h,996.0000026842605,2.695040656505286e-09,1.750688536361622e-07,0.4588768482208252
30,lipa50a,63380.9993610541,0.02074306863984827,4.4796056073437285e-05,1.336047887802124
31,tai25b,420485988.0000009,0.22108056854685895,1.1723955140041653e-13,1.2415971755981445
32,tai60b,675201502.0000006,0.11013612300362528,7.887024366937112e-13,1.6067211627960205
33,bur26d,3947712.9999999995,0.03310142689844213,8.881784197001252e-14,0.23063230514526367
34,esc16c,170.00001001010514,0.06250006256315714,2.681138621341006e-06,0.10278487205505371
35,sko100e,152396.0455429077,0.02176363086092992,0.0007726293521272964,28.355704069137573
36,ste36b,29770.032246640247,0.8779985015543935,4.2820812588217905e-05,0.22562909126281738
37,chr12b,18612.0,0.9104906590022582,1.7763568394002505e-15,0.05212092399597168
38,scr20,167500.00153022748,0.5223121106082658,8.067316343840503e-07,0.1249239444732666
39,tai100b,1289655958.0000045,0.08740316917238368,5.154277005203767e-11,7.96019983291626
40,bur26h,7251622.063731433,0.02154830726194062,1.1434435059243242e-05,0.15502691268920898
41,lipa80b,7763962.000000071,9.11654586547131e-15,2.6716406864579767e-12,4.1620659828186035
42,tai20b,141115912.0,0.15238695348137551,3.552713678800501e-15,0.0767369270324707
43,lipa40b,476581.00000000116,2.442718484936135e-15,3.552713678800501e-13,0.5090639591217041
44,nug30,6592.0000586352935,0.0764206496791792,1.623946626949646e-06,0.2641561031341553
45,chr18a,24572.000000000065,1.2140926293025829,2.842170943040401e-14,0.09291386604309082
46,lipa60b,2520135.0000000056,2.217315916684174e-15,6.963318810448982e-13,1.6387121677398682
47,tai15a,417113.99999999994,0.0744434770513169,2.4868995751603507e-14,0.16297602653503418
48,lipa30a,13679.999718849052,0.03809377134990533,2.5300504812975078e-05,0.3225560188293457
49,rou20,767162.0,0.05739315968364846,1.7763568394002505e-14,0.16266202926635742
50,chr25a,9484.00000000007,1.4984193888303659,2.4868995751603507e-13,0.2964479923248291
51,nug27,5436.00010462169,0.038593829694629406,2.7674044780212625e-06,0.4310472011566162
52,sko81,93292.00000000028,0.02520934526033843,9.450218385609332e-12,7.601955890655518
53,chr12c,24323.999999999993,1.18035138042309,3.552713678800501e-15,0.0570986270904541
54,esc128,80.0012073215043,0.2500188643985046,0.0006775786139883166,15.031636953353882
55,ste36c,11959570.427730495,0.4515609607992241,2.5256636675408117e-06,0.21523809432983398
56,had12,1695.9999999999995,0.026634382566585683,3.552713678800501e-15,0.05183982849121094
57,tai17a,539671.9999999999,0.09731360763869097,2.4868995751603507e-14,0.21032190322875977
58,bur26e,5519733.000000002,0.02466251794406406,6.750155989720952e-14,0.17943811416625977
59,esc16b,293.99999813475654,0.006849308680673075,2.4688215880530606e-06,0.526543140411377
60,sko100d,152924.86146560463,0.022389029427211764,0.03601085584121222,78.96762776374817
61,nug12,725.9999991545887,0.25605536185915007,4.921065119845025e-07,0.042001962661743164
62,kra32,98210.00231638571,0.10472443550490114,2.4318250382293627e-06,0.40892720222473145
63,rou15,404862.00000000006,0.14299991530448056,1.0658141036401503e-14,0.1561286449432373
64,esc16a,78.0000029771172,0.14705886731054713,1.8139568531694295e-06,0.10234713554382324
65,bur26f,3895792.0200852444,0.030075805592225908,2.680293878398743e-06,0.16111373901367188
66,nug28,5782.000696393554,0.11924132721516723,2.8627479160547864e-05,0.2829420566558838
67,chr18b,2644.000023990395,0.7235984511019525,2.65920956366017e-07,0.10161876678466797
68,tai15b,52751531.00000026,0.01905260106062352,3.197442310920451e-14,0.13100504875183105
69,tai50b,552553378.0000044,0.20428828537264176,8.483880264975596e-12,5.943012714385986
70,lipa60a,108922.99761879312,0.01590215839498141,0.00016651551901958328,1.5609369277954102
71,lipa30b,151426.00000000003,1.9219837053566564e-16,8.526512829121202e-14,0.4519948959350586
72,nug24,3856.0005215879523,0.10550473669379368,3.270611004069224e-05,0.1750199794769287
73,scr15,74090.0,0.44876808760265935,2.4868995751603507e-14,0.10352897644042969
74,nug25,3982.0000019112676,0.06356837657886422,1.0684088991297358e-07,0.5744872093200684
75,lipa80a,256631.99631824583,0.01357450312307048,0.00011781366175966923,4.73552680015564
76,tai20a,760168.0000000001,0.08057917615518254,5.3290705182007514e-14,0.16251492500305176
77,tai35b,315642491.00000215,0.11410266037561823,7.176481631177012e-13,0.6112499237060547
78,lipa40a,32246.999715780235,0.022480807780462787,3.103720766262086e-05,0.638085126876831
79,sko100f,152870.0000000011,0.02572532810865231,7.887024366937112e-12,8.298895120620728
80,bur26g,10356956.012951626,0.0237006955057822,1.5375044597476517e-06,0.21825003623962402
81,ste36a,13186.00493261646,0.3842121491304284,1.8428736701991966e-05,0.24262309074401855
82,tai150b,519293421.9328313,0.04088377666800874,0.029573612075125766,199.71845388412476
83,chr12a,20410.0,1.1367252931323284,0.0,0.06313776969909668
84,nug18,2088.0,0.08186528497409326,2.842170943040401e-14,0.11025285720825195
85,chr20c,42712.002758444425,2.0202236429390767,8.898193932793674e-07,0.12599921226501465
86,lipa90b,12490441.000000227,1.8193329459398332e-14,5.8264504332328215e-12,5.2452919483184814
87,tai30b,776147337.0000005,0.21821768896670726,1.2079226507921703e-13,0.28464293479919434
88,chr15a,17746.00000000003,0.7932497978981436,1.4210854715202004e-14,0.15288829803466797
89,nug22,3942.0010022358583,0.09621829873077262,2.374886232914264e-05,0.1957230567932129
90,tai60a,7525648.000000011,0.04398596559762616,2.0108359422010835e-12,3.237414836883545
91,lipa50b,1210244.0000000054,4.424814173041966e-15,7.389644451905042e-13,1.2570853233337402
92,scr12,47483.9999578894,0.5117478496621903,1.3085600159001842e-07,0.0399470329284668
93,esc32g,10.000002010002074,0.6666670016670123,1.8788508313605234e-06,0.41705775260925293
94,nug14,1130.0000068114048,0.11439842880809149,6.072668288226168e-07,0.12415075302124023
95,kra30b,102630.00351925168,0.12262090920205294,4.573082744485646e-06,0.3356800079345703
96,wil100,276284.1484729463,0.011888998868092762,0.023268140934149528,43.20315504074097
97,sko100a,154022.03997695533,0.013289561827839984,0.00018984753822337552,8.58400583267212
98,esc16g,32.00000302622112,0.23076934716235087,1.3109593446358758e-06,0.16942596435546875
99,esc16f,0.0,,14.483391646021385,8.204766988754272
100,bur26a,5516698.999999998,0.016590100374630875,1.6342482922482304e-13,0.18033409118652344
101,rou12,278639.99999999994,0.1830440542101149,1.7763568394002505e-15,0.04532909393310547
102,had16,3897.999997839739,0.0478494617848761,7.552898821927556e-07,0.0656592845916748
103,tai12b,53107703.999999985,0.3456937774492156,1.7763568394002505e-15,0.039002180099487305
104,chr22b,8694.000000000002,0.403616402970617,1.4210854715202004e-14,0.15893888473510742
105,nug15,1368.0000096428882,0.18956522577642457,1.1990181434384795e-06,0.16516900062561035
106,nug16b,1406.0001466765198,0.1338710860294514,1.204353474548725e-05,0.07293319702148438
107,esc16j,16.00000097887287,1.0000001223591086,1.2412320202770388e-06,0.10375189781188965
108,tho30,167622.0146977246,0.11795709301118214,1.1609643831178573e-05,0.3027079105377197
109,tai256c,45408929.8625039,0.014513988145208481,223.27752900162298,885.4916849136353
110,had20,7094.0001559178445,0.024848332262040522,1.5821763224010965e-05,0.0999002456665039
111,lipa70b,4603200.00000008,1.7399578861863738e-14,4.533262654149439e-12,2.7484779357910156
112,chr20b,5554.000000000001,1.4168842471714538,1.4210854715202004e-14,0.12480783462524414
113,lipa20a,3861.999999423444,0.04860168325371817,8.820639862960888e-08,0.139268159866333
114,tai80a,14054226.000000075,0.036610634241505485,7.617018127348274e-12,5.421676158905029
